,name,agency, birthday,age,trainee_dur,dur_month,season,Named label,CJ label,Remarks,final_rank,ep1_rank,ep2_rank,ep3_rank,rank1st,ep6_rank,rank2nd,rank3rd
0,김요한,위,,21,3개월,3,4,0,0,,,3,1,1,1,5,3,1
1,이은상,브랜뉴뮤직,,18,1년 2개월,14,4,1,0,,,14,2,3,5,6,6,9
2,김민규,젤리피쉬,,19,8개월,8,4,1,1,,,1,3,2,2,3,10,5
3,남도현,MBK,,16,5개월,5,4,0,0,,,37,4,5,6,7,7,7
4,송유빈,뮤직웍스,,22,5년 2개월,62,4,1,0,,,17,5,8,8,9,12,17
5,손동표,DSP 미디어,,18,1년 5개월,17,4,1,0,,,6,6,7,7,12,11,12
6,김우석,티오피미디어,,24,4년 7개월,55,4,0,0,,,5,7,6,4,1,1,2
7,박선호,sidusHQ,,27,10년 6개월,126,4,0,0,,,36,8,10,14,26,28,25
8,구정모,스타쉽,,20,1년 2개월,14,4,1,0,,,2,9,9,9,8,5,15
9,송형준,스타쉽,,18,1년 3개월,15,4,1,0,,,9,10,4,3,2,4,8
10,차준호,울림,,18,1년 3개월,15,4,1,0,,,4,11,11,11,15,13,11
11,이유진,개인연습생,,16,4개월,4,4,0,0,,,7,12,16,27,53,55,
12,김국헌,뮤직웍스,,23,7년 9개월,93,4,1,0,,,29,13,15,16,18,22,21
13,이세진,iME KOREA,,24,5개월,5,4,0,0,,,8,14,13,13,20,21,20
14,함원진,스타쉽,,19,2년 6개월,30,4,1,0,,,19,15,12,10,10,14,18
15,김동빈,MLD,,19,1년 9개월,21,4,0,0,,,18,16,17,26,37,42,
16,김시훈,브랜뉴뮤직,,21,2년 9개월,33,4,1,0,,,43,17,19,18,25,24,27
17,윤정환,브랜뉴뮤직,,19,2년 6개월,30,4,1,0,,,58,18,23,31,35,38,
18,이진우,마루기획,,16,5개월,5,4,1,0,,,10,19,14,12,4,8,22
19,강민희,스타쉽,,18,1년 9개월,21,4,1,0,,,11,20,18,22,23,23,14
20,김동윤,울림,,18,1년 5개월,17,4,1,0,,,15,21,26,32,29,31,23
21,한기찬,판타지오,,22,10개월,1,4,1,0,,,16,22,25,33,46,57,
22,홍성준,브랜뉴뮤직,,21,1년 4개월,16,4,1,0,,,53,23,33,37,56,51,
23,황윤성,울림,,20,1년 1개월,13,4,1,0,,,13,24,22,15,21,18,13
24,금동현,C9,,17,1년 10개월,13,4,0,0,,,23,26,30,17,15,19,10
25,김현빈,쏘스뮤직,,18,1년 7개월,19,4,0,0,,,28,27,29,23,27,25,30
26,이한결,MBK,,21,4년 2개월,50,4,0,0,,,41,28,28,21,17,15,16
27,강석화,개인연습생,,20,1년 11개월,13,4,0,0,,,21,29,35,35,34,35,
28,이미담,AAP.Y,,23,3년,36,4,0,0,,,32,30,36,36,38,37,
29,주창욱,울림,,19,1년 3개월,15,4,1,0,,,24,31,37,38,31,30,29
30,백진,바인,,25,1년 8개월,20,4,0,0,,,30,32,42,45,30,36,
31,김성현,스톤뮤직,,24,7년 3개월,87,4,0,1,,,22,33,39,42,44,44,
32,유리,ESteem,,26,3년,36,4,1,0,,,33,34,27,29,33,40,
33,이진혁,티오피미디어,,24,7년 2개월,86,4,0,0,,,38,35,32,25,11,2,3
34,문현빈,스타쉽,,20,2년 7개월,31,4,1,0,,,27,36,41,41,39,32,
35,왕군호,YG,,20,3년,36,4,1,0,,,42,37,46,54,60,58,
36,문준호,울림,,20,1년 2개월,14,4,1,0,,,25,38,44,51,59,59,
37,한승우,PLAN A,,26,7년 2개월,86,4,0,0,,,39,39,34,30,13,9,4
38,남동현,더사우스,,21,1년 5개월,17,4,0,0,,,45,40,45,52,57,60,
39,조승연,위에화,,24,9년,108,4,0,0,,,67,41,38,28,19,17,6
40,픽,Chanderlier Music,,19,6개월,6,4,0,0,,,34,42,51,58,51,50,
41,위자월,HONGYI,,22,8개월,8,4,0,0,,,31,43,31,34,45,43,
42,토니,HONGYI,,18,8개월,8,4,0,0,,,55,44,21,20,24,27,19
43,히다카마히로,YG,,19,2년,24,4,1,0,,,47,45,53,56,58,49,
44,권희준,크래커,,19,3개월,3,4,0,0,,,44,46,50,53,52,56,
45,이태승,마루기획,,17,3개월,3,4,1,0,,,26,47,47,48,55,53,
46,이협,개인연습생,,21,1년 8개월,20,4,0,0,,,40,48,52,49,40,26,24
47,이환,DSP 미디어,,21,2년 9개월,33,4,1,0,,,46,49,60,67,61,61,
48,김영상,MBK,,23,4년,48,4,0,0,,,93,50,58,65,61,61,
49,전현우,애스토리,,23,2년 3개월,27,4,0,0,,,35,51,63,64,61,61,
50,김성연,개인연습생,,18,2년 2개월,26,4,0,0,,,54,52,56,59,49,45,
51,앙자르디 디모데,ESteem,,21,3개월,3,4,1,0,,,49,53,61,61,61,61,
