,date,name,ratio,div
0,2019-06-22,이협,7.0,0.0
1,2019-06-22,이은상,40.0,0.0
2,2019-06-22,이한결,100.0,0.0
3,2019-06-22,김국헌,23.0,0.0
4,2019-06-22,이세진,17.0,0.0
5,2019-06-22,남도현,41.0,1.0
6,2019-06-22,김민규,85.0,1.0
7,2019-06-22,김요한,100.0,1.0
8,2019-06-22,김현빈,6.0,1.0
9,2019-06-22,최수환,12.0,1.0
10,2019-06-22,토니,12.0,2.0
11,2019-06-22,김동윤,26.0,2.0
12,2019-06-22,이진우,50.0,2.0
13,2019-06-22,손동표,100.0,2.0
14,2019-06-22,박선호,62.0,2.0
15,2019-06-22,조승연,19.0,3.0
16,2019-06-22,함원진,11.0,3.0
17,2019-06-22,최병찬,24.0,3.0
18,2019-06-22,강현수,4.0,3.0
19,2019-06-22,이진혁,100.0,3.0
20,2019-06-22,금동현,7.0,4.0
21,2019-06-22,한승우,68.0,4.0
22,2019-06-22,송형준,17.0,4.0
23,2019-06-22,황윤성,4.0,4.0
24,2019-06-22,김우석,100.0,4.0
25,2019-06-22,주창욱,4.0,5.0
26,2019-06-22,차준호,6.0,5.0
27,2019-06-22,강민희,9.0,5.0
28,2019-06-22,송유빈,18.0,5.0
29,2019-06-22,김시훈,100.0,5.0
30,2019-06-22,구정모,100.0,6.0
31,2019-06-23,김우석,100.0,0.0
32,2019-06-23,이세진,9.0,0.0
33,2019-06-23,김동윤,3.0,0.0
34,2019-06-23,박선호,11.0,0.0
35,2019-06-23,이한결,17.0,0.0
36,2019-06-23,주창욱,7.0,1.0
37,2019-06-23,송형준,38.0,1.0
38,2019-06-23,한승우,100.0,1.0
39,2019-06-23,토니,9.0,1.0
40,2019-06-23,이협,6.0,1.0
41,2019-06-23,황윤성,40.0,2.0
42,2019-06-23,금동현,78.0,2.0
43,2019-06-23,김시훈,100.0,2.0
44,2019-06-23,강민희,49.0,2.0
45,2019-06-23,차준호,67.0,2.0
46,2019-06-23,이은상,54.0,3.0
47,2019-06-23,조승연,100.0,3.0
48,2019-06-23,남도현,67.0,3.0
49,2019-06-23,이진우,49.0,3.0
50,2019-06-23,함원진,33.0,3.0
51,2019-06-23,송유빈,40.0,4.0
52,2019-06-23,최수환,7.0,4.0
53,2019-06-23,이진혁,100.0,4.0
54,2019-06-23,강현수,7.0,4.0
55,2019-06-23,최병찬,46.0,4.0
56,2019-06-23,김국헌,16.0,5.0
57,2019-06-23,손동표,34.0,5.0
58,2019-06-23,구정모,21.0,5.0
59,2019-06-23,김요한,100.0,5.0
60,2019-06-23,김현빈,4.0,5.0
61,2019-06-23,김민규,100.0,6.0
62,2019-06-24,조승연,100.0,0.0
63,2019-06-24,함원진,33.0,0.0
64,2019-06-24,이세진,35.0,0.0
65,2019-06-24,송유빈,83.0,0.0
